year,suitable_area_km2,mean_class_all_pixels,mean_class_suitable_only,class0_area_km2,class1_area_km2,class2_area_km2,class3_area_km2,class4_area_km2,class5_area_km2
1979,15.0,0.05596911907196045,1.3096773624420166,3472.0,140.0,0.0,3.0,6.0,6.0
1980,19.0,0.05403915047645569,1.4736841917037964,3494.0,114.0,0.0,3.0,7.0,9.0
1981,19.0,0.06451612710952759,1.2315789461135864,3437.0,171.0,5.0,4.0,9.0,1.0
1982,29.0,0.07030604034662247,1.4825581312179565,3455.0,143.0,4.0,2.0,17.0,6.0
1983,11.0,0.05569341033697128,1.216867446899414,3461.0,155.0,0.0,2.0,4.0,5.0
1984,13.0,0.045767851173877716,1.3495935201644897,3504.0,110.0,0.0,3.0,3.0,7.0
1985,27.0,0.06313757598400116,1.4493670463562012,3469.0,131.0,5.0,5.0,12.0,5.0
1986,11.0,0.05845050886273384,1.1843575239181519,3448.0,168.0,0.0,2.0,7.0,2.0
1987,50.0,0.0788530483841896,1.6531791687011719,3454.0,123.0,11.0,19.0,16.0,4.0
1988,38.0,0.07719878852367401,1.4893616437911987,3439.0,150.0,5.0,16.0,13.0,4.0
1989,56.0,0.0909842848777771,1.6176470518112183,3423.0,148.0,13.0,20.0,19.0,4.0
1990,16.0,0.04659498110413551,1.4444444179534912,3510.0,101.0,0.0,3.0,6.0,7.0
1991,116.0,0.1232423484325409,2.883871078491211,3472.0,39.0,13.0,46.0,41.0,16.0
1992,38.0,0.07802591472864151,1.521505355834961,3441.0,148.0,5.0,11.0,18.0,4.0
1993,14.0,0.06258615851402283,1.2404371500015259,3444.0,169.0,1.0,2.0,5.0,6.0
1994,43.0,0.07857733964920044,1.6285713911056519,3452.0,132.0,6.0,10.0,24.0,3.0
1995,50.0,0.07306313514709473,1.9343066215515137,3490.0,87.0,7.0,19.0,13.0,11.0
1996,4.0,0.0515577606856823,1.0747126340866089,3453.0,170.0,0.0,1.0,1.0,2.0
1997,50.0,0.08161014318466187,1.691428542137146,3452.0,125.0,8.0,16.0,23.0,3.0
1998,104.0,0.12351805716753006,2.133333444595337,3417.0,106.0,27.0,35.0,27.0,15.0
