year,period,suitable_area_km2,mean_class,class0_area_km2,class1_area_km2,class2_area_km2,class3_area_km2,class4_area_km2,class5_area_km2
1979,early,15.0,0.05596911907196045,3472.0,140.0,0.0,3.0,6.0,6.0
1980,early,19.0,0.05403915047645569,3494.0,114.0,0.0,3.0,7.0,9.0
1981,early,19.0,0.06451612710952759,3437.0,171.0,5.0,4.0,9.0,1.0
1982,early,29.0,0.07030604034662247,3455.0,143.0,4.0,2.0,17.0,6.0
1983,early,11.0,0.05569341033697128,3461.0,155.0,0.0,2.0,4.0,5.0
1984,early,13.0,0.045767851173877716,3504.0,110.0,0.0,3.0,3.0,7.0
1985,early,27.0,0.06313757598400116,3469.0,131.0,5.0,5.0,12.0,5.0
1986,early,11.0,0.05845050886273384,3448.0,168.0,0.0,2.0,7.0,2.0
1987,early,50.0,0.0788530483841896,3454.0,123.0,11.0,19.0,16.0,4.0
1988,early,38.0,0.07719878852367401,3439.0,150.0,5.0,16.0,13.0,4.0
1989,early,56.0,0.0909842848777771,3423.0,148.0,13.0,20.0,19.0,4.0
1990,early,16.0,0.04659498110413551,3510.0,101.0,0.0,3.0,6.0,7.0
1991,early,116.0,0.1232423484325409,3472.0,39.0,13.0,46.0,41.0,16.0
1992,early,38.0,0.07802591472864151,3441.0,148.0,5.0,11.0,18.0,4.0
1993,early,14.0,0.06258615851402283,3444.0,169.0,1.0,2.0,5.0,6.0
1994,early,43.0,0.07857733964920044,3452.0,132.0,6.0,10.0,24.0,3.0
1995,early,50.0,0.07306313514709473,3490.0,87.0,7.0,19.0,13.0,11.0
1996,early,4.0,0.0515577606856823,3453.0,170.0,0.0,1.0,1.0,2.0
1997,early,50.0,0.08161014318466187,3452.0,125.0,8.0,16.0,23.0,3.0
1998,early,104.0,0.12351805716753006,3417.0,106.0,27.0,35.0,27.0,15.0
1999,late,54.0,0.090157151222229,3425.0,148.0,15.0,13.0,20.0,6.0
2000,late,83.0,0.11607389152050018,3435.0,109.0,11.0,25.0,20.0,27.0
2001,late,38.0,0.07444168627262115,3449.0,140.0,10.0,7.0,16.0,5.0
2002,late,146.0,0.17535153031349182,3340.0,141.0,31.0,47.0,48.0,20.0
2003,late,113.0,0.13537359237670898,3400.0,114.0,21.0,46.0,33.0,13.0
2004,late,97.0,0.11524675786495209,3401.0,129.0,32.0,40.0,20.0,5.0
2005,late,95.0,0.125723734498024,3390.0,142.0,22.0,32.0,31.0,10.0
2006,late,105.0,0.12848083674907684,3419.0,103.0,19.0,35.0,35.0,16.0
2007,late,100.0,0.12462089955806732,3410.0,117.0,19.0,39.0,30.0,12.0
2008,late,86.0,0.125723734498024,3379.0,162.0,15.0,26.0,39.0,6.0
2009,late,69.0,0.10476978123188019,3387.0,171.0,22.0,27.0,16.0,4.0
2010,late,107.0,0.12351805716753006,3405.0,115.0,35.0,32.0,33.0,7.0
2011,late,107.0,0.10862971842288971,3473.0,47.0,23.0,43.0,33.0,8.0
2012,late,37.0,0.07692307978868484,3455.0,135.0,4.0,5.0,19.0,9.0
2013,late,21.0,0.06561896950006485,3441.0,165.0,3.0,6.0,11.0,1.0
2014,late,61.0,0.09677419066429138,3436.0,130.0,7.0,20.0,23.0,11.0
2015,late,120.0,0.1384063959121704,3401.0,106.0,26.0,48.0,30.0,16.0
2016,late,150.0,0.15081334114074707,3419.0,58.0,31.0,68.0,32.0,19.0
2017,late,116.0,0.14226633310317993,3397.0,114.0,24.0,30.0,46.0,16.0
2018,late,180.0,0.17810863256454468,3388.0,59.0,39.0,74.0,48.0,19.0
