year,suitable_area_km2,mean_class_all_pixels,mean_class_suitable_only,class0_area_km2,class1_area_km2,class2_area_km2,class3_area_km2,class4_area_km2,class5_area_km2
1979,1.0,0.011579818092286587,1.105263113975525,3589.0,37.0,0.0,0.0,0.0,1.0
1980,1.0,0.01138519961386919,1.2857142686843872,1567.0,13.0,0.0,0.0,0.0,1.0
1981,6.0,0.02277039922773838,1.5,1557.0,18.0,3.0,1.0,1.0,1.0
1982,1.0,0.004427577368915081,2.3333332538604736,1578.0,2.0,0.0,0.0,0.0,1.0
1983,1.0,0.006957621779292822,1.5714285373687744,1574.0,6.0,0.0,0.0,0.0,1.0
1984,1.0,0.0037950663827359676,3.0,1579.0,1.0,0.0,0.0,0.0,1.0
1985,1.0,0.0038599392864853144,1.399999976158142,3617.0,9.0,0.0,0.0,0.0,1.0
1986,0.0,0.0006325110443867743,1.0,1580.0,1.0,0.0,0.0,0.0,0.0
1987,1.0,0.013915243558585644,1.2222222089767456,1563.0,17.0,0.0,0.0,0.0,1.0
1988,4.0,0.008855154737830162,2.0,1574.0,3.0,3.0,0.0,0.0,1.0
1989,3.0,0.0060656191781163216,1.4666666984558105,3612.0,12.0,1.0,1.0,0.0,1.0
1990,3.0,0.006957621779292822,2.75,1577.0,1.0,1.0,1.0,0.0,1.0
1991,14.0,0.012682657688856125,2.4210526943206787,3608.0,5.0,5.0,6.0,2.0,1.0
1992,1.0,0.005238489247858524,1.2666666507720947,3612.0,14.0,0.0,0.0,0.0,1.0
1993,1.0,0.0019299696432426572,2.3333332538604736,3624.0,2.0,0.0,0.0,0.0,1.0
1994,6.0,0.013282732106745243,3.0,1574.0,1.0,2.0,1.0,2.0,1.0
1995,2.0,0.007590132765471935,3.0,1577.0,2.0,0.0,0.0,0.0,2.0
1996,3.0,0.013282732106745243,1.75,1569.0,9.0,0.0,1.0,1.0,1.0
1997,5.0,0.017369726672768593,1.2352941036224365,3576.0,46.0,1.0,2.0,1.0,1.0
1998,10.0,0.013234077952802181,1.7142857313156128,3599.0,18.0,6.0,0.0,2.0,2.0
