year,unchanged_px,changed_px,improved_px,degraded_px
1979,3627,0,0,0
1980,1581,0,0,0
1981,1581,0,0,0
1982,1581,0,0,0
1983,1581,0,0,0
1984,1581,0,0,0
1985,3627,0,0,0
1986,1581,0,0,0
1987,1581,0,0,0
1988,1581,0,0,0
1989,3627,0,0,0
1990,1581,0,0,0
1991,3627,0,0,0
1992,3627,0,0,0
1993,3627,0,0,0
1994,1581,0,0,0
1995,1581,0,0,0
1996,1581,0,0,0
1997,3627,0,0,0
1998,3627,0,0,0
1999,1571,10,10,0
2000,1573,8,0,8
2001,1581,0,0,0
2002,3597,30,9,21
2003,1577,4,0,4
2004,1573,8,0,8
2005,1579,2,0,2
2006,1571,10,8,2
2007,1576,5,0,5
2008,3602,25,0,25
2009,1581,0,0,0
2010,1534,47,8,39
2011,1576,5,0,5
2012,3625,2,0,2
2013,1572,9,8,1
2014,1574,7,3,4
2015,1579,2,0,2
2016,1578,3,0,3
2017,1570,11,0,11
2018,1581,0,0,0
