year,unchanged_px,changed_px,improved_px,degraded_px
1979,3627,0,0,0
1980,3627,0,0,0
1981,3627,0,0,0
1982,3627,0,0,0
1983,3627,0,0,0
1984,3627,0,0,0
1985,3627,0,0,0
1986,3627,0,0,0
1987,3627,0,0,0
1988,3627,0,0,0
1989,3627,0,0,0
1990,3627,0,0,0
1991,3627,0,0,0
1992,3627,0,0,0
1993,3627,0,0,0
1994,3627,0,0,0
1995,3627,0,0,0
1996,3627,0,0,0
1997,3627,0,0,0
1998,3627,0,0,0
1999,3495,132,93,39
2000,3566,61,16,45
2001,3583,44,32,12
2002,3538,89,1,88
2003,3580,47,1,46
2004,3547,80,2,78
2005,3554,73,13,60
2006,3575,52,19,33
2007,3572,55,14,41
2008,3555,72,13,59
2009,3600,27,0,27
2010,3522,105,21,84
2011,3560,67,28,39
2012,3590,37,9,28
2013,3589,38,20,18
2014,3585,42,17,25
2015,3556,71,20,51
2016,3589,38,4,34
2017,3573,54,3,51
2018,3560,67,25,42
